RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,CLTUR_ART_VIEWNG_INTRST_DGREE_VALUE,CLTUR_ART_ACT_INTRST_DGREE_VALUE,SPORTS_VIEWNG_INTRST_DGREE_VALUE,SPORTS_ACT_INTRST_DGREE_VALUE,TURSM_TOUR_INTRST_DGREE_VALUE,RCRT_REST_INTRST_DGREE_VALUE,SELF_IMPT_SELF_MANAGE_INTRST_DGREE_VALUE,SCT_EXCHG_INTRST_DGREE_VALUE
2757418,20211103,F,20대,경기도,300만원 미만,2,1,1,3,3,3,2,1
2910358,20211103,F,20대,서울특별시,500이상700만원 미만,2,2,2,2,2,2,2,2
2955279,20211103,F,20대,경기도,700만원 이상,2,2,3,3,3,3,3,3
2957986,20211103,M,20대,서울특별시,700만원 이상,1,1,1,2,3,3,2,3
2959141,20211103,M,20대,서울특별시,300이상500만원 미만,2,3,2,3,2,3,2,3
3005257,20211103,F,20대,부산광역시,700만원 이상,3,2,2,2,3,3,3,2
3010626,20211103,M,20대,경기도,500이상700만원 미만,3,2,2,3,3,3,3,3
3020830,20211103,M,20대,서울특별시,300만원 미만,2,3,3,3,3,3,3,3
3023008,20211103,M,20대,경기도,700만원 이상,3,1,1,1,1,3,1,1
3034844,20211103,F,20대,경기도,무응답,3,3,1,3,3,3,3,1
3037617,20211103,F,20대,경기도,무응답,3,3,2,3,3,3,3,2
3039157,20211103,F,20대,서울특별시,300만원 미만,1,1,1,1,1,1,1,1
3039221,20211103,M,20대,서울특별시,300만원 미만,3,2,2,2,1,3,3,1
3085844,20211103,M,20대,경기도,700만원 이상,3,3,3,3,3,3,3,3
3088466,20211103,F,20대,경기도,500이상700만원 미만,3,2,1,3,3,3,2,2
3094496,20211103,M,20대,경기도,300이상500만원 미만,1,2,3,3,3,3,2,3
3142500,20211103,F,20대,경기도,300이상500만원 미만,3,2,3,3,3,3,2,3
3169715,20211103,M,20대,서울특별시,500이상700만원 미만,3,2,2,2,3,2,2,1
3170401,20211103,M,20대,부산광역시,700만원 이상,2,1,3,2,3,1,2,2
3170755,20211103,M,20대,경기도,300만원 미만,3,3,3,3,3,3,3,3
3205050,20211103,M,20대,경기도,700만원 이상,3,3,2,2,3,2,3,3
3211686,20211103,M,20대,경기도,300이상500만원 미만,2,2,2,2,2,2,2,2
3231416,20211103,M,20대,대전광역시,무응답,2,2,2,2,3,3,2,3
3232953,20211103,M,20대,서울특별시,무응답,3,3,2,2,3,3,3,3
3237739,20211103,F,20대,서울특별시,무응답,1,1,1,1,3,3,3,1
3238867,20211103,M,20대,경기도,300이상500만원 미만,2,3,2,1,3,3,3,3
3239785,20211103,F,20대,충청북도,700만원 이상,3,3,2,2,3,2,3,2
3243296,20211103,M,20대,경기도,무응답,2,2,2,2,1,3,2,2
50034614,20211103,M,20대,서울특별시,300만원 미만,2,2,2,3,1,3,3,2
50050729,20211103,M,20대,경기도,300만원 미만,2,2,2,3,3,2,2,2
50107266,20211103,F,20대,강원도,700만원 이상,2,2,2,2,2,3,3,2
50136564,20211103,M,20대,서울특별시,500이상700만원 미만,1,1,2,2,2,2,3,1
50170567,20211103,F,20대,서울특별시,300만원 미만,3,3,1,1,2,3,3,3
50171102,20211103,F,20대,서울특별시,300이상500만원 미만,1,1,1,1,2,3,1,3
50173584,20211103,F,20대,부산광역시,500이상700만원 미만,3,3,3,3,3,2,3,2
50176224,20211103,M,20대,경기도,500이상700만원 미만,3,2,2,1,3,3,3,1
50214786,20211103,F,20대,경기도,300이상500만원 미만,3,3,3,3,3,3,2,2
50215800,20211103,F,20대,대구광역시,700만원 이상,3,3,1,2,2,3,3,2
50220039,20211103,F,20대,대구광역시,300만원 미만,2,1,2,3,3,3,2,2
50220065,20211103,F,20대,경기도,300이상500만원 미만,1,3,2,3,3,3,3,3
50269615,20211103,F,20대,서울특별시,300이상500만원 미만,2,3,2,3,3,3,1,3
50269863,20211103,F,20대,광주광역시,300이상500만원 미만,3,3,1,2,1,3,3,1
50271549,20211103,F,20대,대전광역시,700만원 이상,3,3,1,1,3,2,3,2
50271573,20211103,F,20대,경상남도,300이상500만원 미만,2,2,2,2,3,3,1,2
50277902,20211103,F,20대,서울특별시,300이상500만원 미만,3,2,2,2,3,3,3,2
50277922,20211103,F,20대,부산광역시,500이상700만원 미만,1,2,3,3,1,3,2,2
50285743,20211103,M,20대,경기도,무응답,2,2,2,2,2,2,2,2
50305452,20211103,F,20대,충청남도,700만원 이상,1,1,1,1,3,2,2,3
50320460,20211103,F,20대,경기도,300이상500만원 미만,2,1,2,3,3,2,3,2
50321300,20211103,F,20대,경기도,300이상500만원 미만,3,3,3,3,3,3,3,3
50321323,20211103,M,20대,서울특별시,300이상500만원 미만,3,3,3,3,3,3,3,3
50332505,20211103,F,20대,경기도,300이상500만원 미만,2,2,1,2,2,2,2,1
50332573,20211103,M,20대,경기도,300만원 미만,2,2,2,1,2,2,3,3
50332837,20211103,F,20대,서울특별시,700만원 이상,2,2,3,3,2,2,3,2
50333253,20211103,M,20대,경기도,700만원 이상,1,1,1,1,3,2,2,1
50336070,20211103,F,20대,경상남도,무응답,3,3,2,3,3,2,3,3
50347244,20211103,M,20대,서울특별시,300이상500만원 미만,2,3,3,3,3,3,3,3
50347772,20211103,F,20대,인천광역시,무응답,3,2,2,3,3,2,3,3
50349394,20211103,F,20대,광주광역시,300만원 미만,2,1,2,2,2,3,3,1
50349700,20211103,M,20대,전라남도,500이상700만원 미만,1,2,3,2,3,3,3,3
50350280,20211103,M,20대,서울특별시,무응답,2,1,2,3,1,3,3,1
50351132,20211103,F,20대,전라북도,300만원 미만,3,3,1,3,3,3,3,3
50351166,20211103,M,20대,경상북도,300이상500만원 미만,1,1,3,3,3,3,2,3
50360442,20211103,M,20대,경기도,300이상500만원 미만,1,1,2,1,2,3,3,3
50360537,20211103,F,20대,경상남도,300만원 미만,3,3,2,3,3,3,1,3
50365063,20211103,F,20대,서울특별시,500이상700만원 미만,2,3,3,3,2,3,3,2
50368727,20211103,F,20대,경상남도,300만원 미만,3,3,2,3,2,3,3,2
50369432,20211103,F,20대,경기도,700만원 이상,2,2,2,3,3,3,3,3
50376913,20211103,M,20대,경기도,700만원 이상,2,1,1,1,2,3,3,1
50379767,20211103,M,20대,서울특별시,700만원 이상,2,2,1,2,3,3,3,1
50380515,20211103,F,20대,울산광역시,무응답,3,3,3,3,3,3,3,2
50381514,20211103,M,20대,경기도,300이상500만원 미만,1,1,3,3,3,3,3,3
50382130,20211103,M,20대,서울특별시,무응답,1,1,2,2,2,2,2,2
50382763,20211103,F,20대,경상남도,300만원 미만,2,2,2,3,3,3,3,2
50382931,20211103,M,20대,경기도,300만원 미만,3,3,2,2,3,3,3,2
50386377,20211103,M,20대,서울특별시,700만원 이상,2,2,2,2,3,3,2,2
50392990,20211103,F,20대,대전광역시,300이상500만원 미만,3,3,2,3,3,2,3,3
50394226,20211103,M,20대,서울특별시,무응답,3,3,1,1,2,3,3,2
50395467,20211103,F,20대,경상남도,500이상700만원 미만,3,3,3,3,1,3,3,1
50397930,20211103,M,20대,세종특별자치시,500이상700만원 미만,2,2,2,2,3,2,3,2
50399682,20211103,M,20대,서울특별시,500이상700만원 미만,3,3,3,3,3,3,3,3
50401165,20211103,F,20대,충청북도,500이상700만원 미만,2,2,3,3,2,3,3,3
50401692,20211103,F,20대,충청북도,300만원 미만,3,2,2,2,3,3,2,1
50402612,20211103,F,20대,경기도,무응답,3,3,2,2,3,2,2,2
50408557,20211103,M,20대,경기도,700만원 이상,2,2,3,2,2,2,2,2
50409117,20211103,M,20대,서울특별시,무응답,2,2,2,2,2,2,2,2
50411578,20211103,F,20대,서울특별시,무응답,1,1,1,1,1,3,2,1
50411711,20211103,M,20대,광주광역시,300만원 미만,3,1,1,2,1,3,3,2
50412281,20211103,F,20대,제주특별자치도,700만원 이상,2,2,2,2,2,2,2,2
50414804,20211103,M,20대,서울특별시,700만원 이상,1,1,1,1,1,1,1,1
50415135,20211103,M,20대,서울특별시,500이상700만원 미만,3,3,3,3,3,2,3,1
50421376,20211103,M,20대,경기도,300이상500만원 미만,3,1,2,1,3,3,3,2
50421436,20211103,M,20대,서울특별시,300만원 미만,3,2,2,1,1,2,2,3
50421547,20211103,F,20대,광주광역시,500이상700만원 미만,1,2,1,1,1,1,2,2
50423985,20211103,M,20대,서울특별시,300이상500만원 미만,3,3,3,3,2,3,3,3
50424422,20211103,M,20대,경기도,300만원 미만,3,3,3,2,3,3,2,3
50424749,20211103,M,20대,경상남도,300이상500만원 미만,3,2,3,3,2,2,2,3
50426957,20211103,F,20대,경기도,300이상500만원 미만,2,2,2,2,2,2,2,2
50427718,20211103,M,20대,서울특별시,300만원 미만,3,2,3,2,1,3,3,1
50428393,20211103,F,20대,경기도,700만원 이상,3,2,3,2,1,1,3,2
50430426,20211103,M,20대,경기도,700만원 이상,3,2,2,2,2,2,3,2
50430965,20211103,M,20대,강원도,무응답,2,2,2,2,2,2,2,2
50431243,20211103,F,20대,강원도,무응답,2,1,2,1,1,3,1,2
50432154,20211103,M,20대,경기도,700만원 이상,2,3,2,2,2,3,3,3
50435158,20211103,M,20대,경기도,300만원 미만,3,3,2,3,3,3,3,3
50436102,20211103,M,20대,경기도,300만원 미만,2,3,2,3,2,3,2,2
50436804,20211103,M,20대,서울특별시,300이상500만원 미만,2,2,2,1,2,2,3,1
50437242,20211103,M,20대,서울특별시,300만원 미만,1,1,2,1,1,3,3,1
50438999,20211103,M,20대,경기도,300만원 미만,1,1,1,1,1,3,3,1
50439961,20211103,M,20대,경기도,500이상700만원 미만,1,2,2,3,2,3,2,3
50440783,20211103,M,20대,광주광역시,300만원 미만,2,2,2,2,2,2,2,2
